id;email;hash_password;account_balance;account_status;subscription_status;subscription_start_date;subscription_end_date
1;"!x@-k.Y";web-enabled COM Fish;80297;ACTIVATED;false;2023-11-16T09:14:11;even-keeled
2;"_yl_@nv6*4z.7<$lI";Personal Loan Account applications systems;43467;ACTIVATED;true;2023-11-15T12:03:37;Plains
3;"_TM'@>|.1|";Operations indigo;68367;UNAVAILABLE;true;2023-11-16T01:56:36;Solutions Cuban Peso Peso Convertible
4;"TfPn@?8{N~e.w#<U";Credit Card Account;81863;ACTIVATED;true;2023-11-15T20:05:54;Rubber Cambridgeshire South Dakota
5;"0h@Z:^.;LP^";Avon Incredible Wooden Towels tan;8184;BAN;false;2023-11-15T23:09:14;empowering Granite
6;"t6@K.][64";Handmade innovate;7673;BAN;true;2023-11-15T15:16:18;Profit-focused generate Concrete
7;"1m@'s.)>r";functionalities;53970;ACTIVATED;false;2023-11-16T01:52:41;Mouse Table
8;"V/SoQW@l;q8.v!KEJ*";payment;26245;UNAVAILABLE;true;2023-11-16T08:53:47;compress Administrator withdrawal
9;"u:(Nd7@;.Z89PM";Tactics Monitored;54257;ACTIVATED;false;2023-11-15T22:30:55;Intelligent Granite Keyboard iterate
10;"_JP@n.6/>";Keys extensible azure;51048;ACTIVATED;true;2023-11-16T03:46:19;AGP microchip magenta
