id;session_id;email;conn_id;status_conn;player_id
1;Books;Quinten_Harber93@gmail.com;Synchronised Home Loan Account;true;94443
2;Interactions;Karine85@gmail.com;navigate;true;9919
3;index;Gerda.Howell@yahoo.com;Movies Bedfordshire Personal Loan Account;false;3791
4;Soft SDD teal;Lyda92@hotmail.com;Auto Loan Account;true;67118
5;deposit;Coty.Koepp@gmail.com;silver Locks e-markets;true;95963
6;Louisiana grey copying;Lilly.Stanton@yahoo.com;Optimized;true;12610
7;maroon Manors Baht;Bud77@yahoo.com;Cotton e-business Ergonomic Metal Chair;false;92933
8;Won Cambridgeshire orange;Loma59@gmail.com;mindshare deposit;true;22071
9;Tuna systems;Irwin.Grady3@yahoo.com;Strategist;false;3700
10;Barbados;Cecelia_Schaden43@yahoo.com;Wooden SSL;false;55249
